menuId,optionId,perm,url,name,type,section,groupname,position
42,1,<blank>,tiki-index.php,Home,o,<blank>,<blank>,10
42,2,tiki_p_chat,tiki-chat.php,Chat,o,feature_chat,<blank>,15
42,3,<blank>,tiki-contact.php,Contact us,o,feature_contact,<blank>,20
42,4,tiki_p_view_stats,tiki-stats.php,Stats,o,feature_stats,<blank>,23
42,5,tiki_p_view_categories,tiki-browse_categories.php,Categories,o,feature_categories,<blank>,25
42,6,tiki_p_play_games,tiki-list_games.php,Games,o,feature_games,<blank>,30
42,7,tiki_p_view_calendar,tiki-calendar.php,Calendar,o,feature_calendar,<blank>,35
42,8,<blank>,tiki-gmap_usermap.php,Users map,o,feature_gmap,<blank>,36
42,9,<blank>,tiki-mobile.php,Mobile,o,feature_mobile,<blank>,37
42,10,tiki_p_admin,"javascript:toggle(""debugconsole"")",(debug),o,feature_debug_console,<blank>,40
42,11,<blank>,tiki-my_tiki.php,MyTiki,s,<blank>,Registered,50
42,12,<blank>,tiki-my_tiki.php,MyTiki home,o,<blank>,Registered,51
42,13,<blank>,tiki-user_preferences.php,Preferences,o,feature_userPreferences,Registered,55
42,14,tiki_p_messages,messu-mailbox.php,Messages,o,feature_messages,Registered,60
42,15,tiki_p_tasks,tiki-user_tasks.php,Tasks,o,feature_tasks,Registered,65
42,16,tiki_p_create_bookmarks,tiki-user_bookmarks.php,Bookmarks,o,feature_user_bookmarks,Registered,70
42,17,tiki_p_configure_modules,tiki-user_assigned_modules.php,Modules,o,user_assigned_modules,Registered,75
42,18,tiki_p_newsreader,tiki-newsreader_servers.php,Newsreader,o,feature_newsreader,Registered,80
42,19,tiki_p_use_webmail,tiki-webmail.php,Webmail,o,feature_webmail,Registered,85
42,20,tiki_p_notepad,tiki-notepad_list.php,Notepad,o,feature_notepad,Registered,90
42,21,tiki_p_userfiles,tiki-userfiles.php,My files,o,feature_userfiles,Registered,95
42,22,tiki_p_usermenu,tiki-usermenu.php,User menu,o,feature_usermenu,Registered,100
42,23,tiki_p_minical,tiki-minical.php,Mini calendar,o,feature_minical,Registered,105
