TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,COLUMN_NAME,ORDINAL_POSITION,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,REFERENCED_TABLE_SCHEMA,POSITION_IN_UNIQUE_CONSTRAINT
tikiwiki,tiki_content_templates_sections,NULL,templateId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_content_templates_sections,NULL,section,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_cookies,NULL,cookieId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_copyrights,NULL,copyrightId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_directory_categories,NULL,categId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_directory_search,NULL,term,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_directory_sites,NULL,siteId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_download,NULL,id,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_drawings,NULL,drawId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_dsn,NULL,dsnId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_dynamic_variables,NULL,name,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_eph,NULL,ephId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_extwiki,NULL,extwikiId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_faq_questions,NULL,questionId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_faqs,NULL,faqId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_featured_links,NULL,url,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_file_galleries,NULL,galleryId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_files,NULL,fileId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_forum_attachments,NULL,attId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_forum_reads,NULL,user,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_forum_reads,NULL,threadId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_forums,NULL,forumId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_forums_queue,NULL,qId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_forums_reported,NULL,threadId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_friends,NULL,user,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_friends,NULL,friend,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_friendship_requests,NULL,userFrom,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_friendship_requests,NULL,userTo,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_galleries,NULL,galleryId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_galleries_scales,NULL,galleryId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_galleries_scales,NULL,scale,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_games,NULL,gameName,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_group_inclusion,NULL,groupName,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_group_inclusion,NULL,includeGroup,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_history,NULL,pageName,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_history,NULL,version,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_hotwords,NULL,word,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_html_pages,NULL,pageName,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_html_pages_dynamic_zones,NULL,pageName,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_html_pages_dynamic_zones,NULL,zone,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_images,NULL,imageId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_images_data,NULL,imageId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_images_data,NULL,xsize,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_images_data,NULL,ysize,3,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_images_data,NULL,type,4,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_integrator_reps,NULL,repID,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_integrator_rules,NULL,ruleID,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_language,NULL,source,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_language,NULL,lang,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_languages,NULL,lang,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_link_cache,NULL,cacheId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_links,NULL,fromPage,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_links,NULL,toPage,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_live_support_events,NULL,eventId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_live_support_message_comments,NULL,cId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_live_support_messages,NULL,msgId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_live_support_modules,NULL,modId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_live_support_operators,NULL,user,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_live_support_requests,NULL,reqId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_logs,NULL,logId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_mailin_accounts,NULL,accountId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_menu_languages,NULL,menuId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_menu_languages,NULL,language,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_menu_options,NULL,optionId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_menus,NULL,menuId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_minical_events,NULL,eventId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_minical_topics,NULL,topicId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_modules,NULL,name,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsletter_groups,NULL,nlId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsletter_groups,NULL,groupName,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsletter_subscriptions,NULL,nlId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsletter_subscriptions,NULL,email,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsletter_subscriptions,NULL,isUser,3,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsletters,NULL,nlId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsreader_marks,NULL,user,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsreader_marks,NULL,serverId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsreader_marks,NULL,groupName,3,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_newsreader_servers,NULL,serverId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_object_ratings,NULL,catObjectId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_object_ratings,NULL,pollId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_page_footnotes,NULL,user,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_page_footnotes,NULL,pageName,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_pages,NULL,page_id,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_pages,NULL,pageName,1,pageName,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_pageviews,NULL,day,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_poll_objects,NULL,catObjectId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_poll_objects,NULL,pollId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_poll_options,NULL,optionId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_polls,NULL,pollId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_preferences,NULL,name,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_private_messages,NULL,messageId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_programmed_content,NULL,pId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quicktags,NULL,tagId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quiz_question_options,NULL,optionId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quiz_questions,NULL,questionId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quiz_results,NULL,resultId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quiz_stats,NULL,quizId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quiz_stats,NULL,questionId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quiz_stats,NULL,optionId,3,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quiz_stats_sum,NULL,quizId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quizzes,NULL,quizId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_quizzes,NULL,nVersion,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_received_articles,NULL,receivedArticleId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_received_pages,NULL,receivedPageId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_referer_stats,NULL,referer,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_related_categories,NULL,categId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_related_categories,NULL,relatedTo,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_rss_feeds,NULL,name,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_rss_feeds,NULL,rssVer,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_rss_modules,NULL,rssId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_score,NULL,event,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_search_stats,NULL,term,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_searchindex,NULL,searchword,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_searchindex,NULL,location,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_searchindex,NULL,page,3,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_searchsyllable,NULL,syllable,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_searchwords,NULL,syllable,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_searchwords,NULL,searchword,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_secdb,NULL,md5_value,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_secdb,NULL,filename,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_secdb,NULL,tiki_version,3,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_semaphores,NULL,semName,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_sent_newsletters,NULL,editionId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
