PACKED,NULLABLE,SUB_PART,COMMENT,INDEX_NAME,INDEX_TYPE,NON_UNIQUE,COLLATION,INDEX_SCHEMA,SEQ_IN_INDEX,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,CARDINALITY,COLUMN_NAME
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_calendar_items,NULL,0,calitemId
NULL,<blank>,NULL,<blank>,calendarId,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_calendar_items,NULL,NULL,calendarId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_calendar_locations,NULL,0,callocId
NULL,<blank>,NULL,<blank>,locname,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_calendar_locations,NULL,NULL,calendarId
NULL,<blank>,16,<blank>,locname,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_calendar_locations,NULL,0,name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_calendar_roles,NULL,NULL,calitemId
NULL,<blank>,16,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_calendar_roles,NULL,NULL,username
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,3,tikiwiki,tiki_calendar_roles,NULL,0,role
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_calendars,NULL,0,calendarId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_categories,NULL,0,categId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_categorized_objects,NULL,0,catObjectId
NULL,YES,NULL,<blank>,type,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_categorized_objects,NULL,NULL,type
NULL,YES,NULL,<blank>,type,BTREE,1,A,tikiwiki,2,tikiwiki,tiki_categorized_objects,NULL,NULL,objId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_category_objects,NULL,NULL,catObjectId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_category_objects,NULL,0,categId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_category_sites,NULL,NULL,categId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_category_sites,NULL,0,siteId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_chart_items,NULL,0,itemId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_charts,NULL,0,chartId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_charts_rankings,NULL,NULL,chartId
